graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_2,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
bcspwr03,118,179,1,9,175,47,206,0.0259308,0.0110054,1
bcspwr03,118,179,1,9,176,47,206,0.0259308,0.0234936,1
bcspwr03,118,179,1,9,173,47,206,0.0259308,0.0129984,1
bcspwr03,118,179,1,9,186,47,206,0.0259308,0.0121905,1
bcspwr03,118,179,1,9,177,47,206,0.0259308,0.0115924,1
bcspwr03,118,179,1,9,172,47,206,0.0259308,0.0115798,1
bcspwr03,118,179,1,9,172,47,206,0.0259308,0.0150047,1
bcspwr03,118,179,1,9,173,47,206,0.0259308,0.0117291,1
bcspwr03,118,179,1,9,173,47,206,0.0259308,0.0114048,1
bcspwr03,118,179,1,9,173,47,206,0.0259308,0.0135939,1
bcspwr03,118,179,1,9,168,47,206,0.0259308,0.0116548,1
bcspwr03,118,179,1,9,168,47,206,0.0259308,0.011492,1
bcspwr03,118,179,1,9,172,47,206,0.0259308,0.0107869,1
bcspwr03,118,179,1,9,170,47,206,0.0259308,0.0122811,1
bcspwr03,118,179,1,9,169,47,206,0.0259308,0.0116198,1
