graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_2,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
can___96,96,336,5,8,78,42,144,0.0736842,0.0175277,1
can___96,96,336,5,8,72,42,144,0.0736842,0.020614,1
can___96,96,336,5,8,74,42,144,0.0736842,0.0255357,1
can___96,96,336,5,8,71,42,144,0.0736842,0.013626,1
can___96,96,336,5,8,76,42,144,0.0736842,0.0106929,1
can___96,96,336,5,8,72,42,144,0.0736842,0.0108559,1
can___96,96,336,5,8,78,42,144,0.0736842,0.0108747,1
can___96,96,336,5,8,81,42,144,0.0736842,0.0126864,1
can___96,96,336,5,8,76,42,144,0.0736842,0.00888601,1
can___96,96,336,5,8,78,42,144,0.0736842,0.0194812,1
can___96,96,336,5,8,71,42,144,0.0736842,0.0120613,1
can___96,96,336,5,8,71,42,144,0.0736842,0.0102833,1
can___96,96,336,5,8,67,42,144,0.0736842,0.0351094,1
can___96,96,336,5,8,73,42,144,0.0736842,0.0113789,1
can___96,96,336,5,8,72,42,144,0.0736842,0.0122567,1
