graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_2,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
lnsp_131,131,275,0,12,194,40,239,0.0322959,0.0166376,1
lnsp_131,131,275,0,12,199,40,239,0.0322959,0.0172791,1
lnsp_131,131,275,0,12,199,40,239,0.0322959,0.0184429,1
lnsp_131,131,275,0,12,199,40,239,0.0322959,0.0189524,1
lnsp_131,131,275,0,12,181,40,239,0.0322959,0.0168992,1
lnsp_131,131,275,0,12,196,40,239,0.0322959,0.0194562,1
lnsp_131,131,275,0,12,203,40,239,0.0322959,0.0173706,1
lnsp_131,131,275,0,12,205,40,239,0.0322959,0.0176831,1
lnsp_131,131,275,0,12,201,40,239,0.0322959,0.0178074,1
lnsp_131,131,275,0,12,195,40,239,0.0322959,0.0196297,1
lnsp_131,131,275,0,12,209,40,239,0.0322959,0.0234479,1
lnsp_131,131,275,0,12,212,40,239,0.0322959,0.0251354,1
lnsp_131,131,275,0,12,208,40,239,0.0322959,0.0214704,1
lnsp_131,131,275,0,12,201,40,239,0.0322959,0.0198927,1
lnsp_131,131,275,0,12,200,40,239,0.0322959,0.0263063,1
