graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_2,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
pde225,225,420,2,4,270,180,337,0.0166667,0.147387,1
pde225,225,420,2,4,281,180,337,0.0166667,0.0548128,1
pde225,225,420,2,4,296,180,337,0.0166667,0.0866486,1
pde225,225,420,2,4,282,180,337,0.0166667,0.0555431,1
pde225,225,420,2,4,290,180,337,0.0166667,0.0555535,1
pde225,225,420,2,4,276,180,337,0.0166667,0.0908545,1
pde225,225,420,2,4,270,180,337,0.0166667,0.0820314,1
pde225,225,420,2,4,275,180,337,0.0166667,0.205453,1
pde225,225,420,2,4,266,180,337,0.0166667,0.0722888,1
pde225,225,420,2,4,275,180,337,0.0166667,0.0858784,1
pde225,225,420,2,4,286,180,337,0.0166667,0.070368,1
pde225,225,420,2,4,276,180,337,0.0166667,0.0477115,1
pde225,225,420,2,4,273,180,337,0.0166667,0.0998899,1
pde225,225,420,2,4,277,180,337,0.0166667,0.0779905,1
pde225,225,420,2,4,276,180,337,0.0166667,0.106283,1
