graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_2,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
utm300,300,2191,1,32,206,36,525,0.0488517,0.477549,1
utm300,300,2191,1,32,215,36,525,0.0488517,0.263726,1
utm300,300,2191,1,32,217,36,525,0.0488517,0.501037,1
utm300,300,2191,1,32,221,36,525,0.0488517,0.258392,1
utm300,300,2191,1,32,231,36,525,0.0488517,0.345234,1
utm300,300,2191,1,32,218,36,525,0.0488517,0.229307,1
utm300,300,2191,1,32,225,36,525,0.0488517,0.272059,1
utm300,300,2191,1,32,218,36,525,0.0488517,0.264475,1
utm300,300,2191,1,32,235,36,525,0.0488517,0.270713,1
utm300,300,2191,1,32,218,36,525,0.0488517,0.229482,1
utm300,300,2191,1,32,235,36,525,0.0488517,0.300095,1
utm300,300,2191,1,32,240,36,525,0.0488517,0.30944,1
utm300,300,2191,1,32,198,36,525,0.0488517,0.352298,1
utm300,300,2191,1,32,211,36,525,0.0488517,0.360797,1
utm300,300,2191,1,32,211,36,525,0.0488517,0.251942,1
