graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_3,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
can__144,144,576,5,14,52,38,216,0.0559441,0.0194078,1
can__144,144,576,5,14,52,38,216,0.0559441,0.0195284,1
can__144,144,576,5,14,52,38,216,0.0559441,0.0199054,1
can__144,144,576,5,14,52,38,216,0.0559441,0.0197062,1
can__144,144,576,5,14,52,38,216,0.0559441,0.0210097,1
can__144,144,576,5,14,52,38,216,0.0559441,0.0195611,1
can__144,144,576,5,14,52,38,216,0.0559441,0.0196721,1
can__144,144,576,5,14,52,38,216,0.0559441,0.0198453,1
can__144,144,576,5,14,52,38,216,0.0559441,0.0196364,1
can__144,144,576,5,14,52,38,216,0.0559441,0.020281,1
can__144,144,576,5,14,52,38,216,0.0559441,0.0198203,1
can__144,144,576,5,14,52,38,216,0.0559441,0.0227651,1
can__144,144,576,5,14,52,38,216,0.0559441,0.0270883,1
can__144,144,576,5,14,52,38,216,0.0559441,0.0266964,1
can__144,144,576,5,14,52,38,216,0.0559441,0.0246298,1
