graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_3,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
gre_216b,216,660,2,8,271,96,324,0.0284238,0.0585686,1
gre_216b,216,660,2,8,269,96,324,0.0284238,0.0816998,1
gre_216b,216,660,2,8,270,96,324,0.0284238,0.0701915,1
gre_216b,216,660,2,8,269,96,324,0.0284238,0.0785927,1
gre_216b,216,660,2,8,267,96,324,0.0284238,0.128173,1
gre_216b,216,660,2,8,270,96,324,0.0284238,0.081592,1
gre_216b,216,660,2,8,269,96,324,0.0284238,0.0845345,1
gre_216b,216,660,2,8,271,96,324,0.0284238,0.0522389,1
gre_216b,216,660,2,8,268,96,324,0.0284238,0.0784069,1
gre_216b,216,660,2,8,270,96,324,0.0284238,0.060149,1
gre_216b,216,660,2,8,267,96,324,0.0284238,0.0842479,1
gre_216b,216,660,2,8,271,96,324,0.0284238,0.0529279,1
gre_216b,216,660,2,8,270,96,324,0.0284238,0.0762158,1
gre_216b,216,660,2,8,270,96,324,0.0284238,0.0545708,1
gre_216b,216,660,2,8,270,96,324,0.0284238,0.060033,1
