graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_3,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
saylr1,238,445,2,4,307,190,357,0.0157785,0.0713657,1
saylr1,238,445,2,4,307,190,357,0.0157785,0.0644094,1
saylr1,238,445,2,4,305,190,357,0.0157785,0.113201,1
saylr1,238,445,2,4,304,190,357,0.0157785,0.0817142,1
saylr1,238,445,2,4,303,190,357,0.0157785,0.136512,1
saylr1,238,445,2,4,305,190,357,0.0157785,0.0794188,1
saylr1,238,445,2,4,305,190,357,0.0157785,0.0867003,1
saylr1,238,445,2,4,305,190,357,0.0157785,0.0702555,1
saylr1,238,445,2,4,303,190,357,0.0157785,0.108968,1
saylr1,238,445,2,4,305,190,357,0.0157785,0.0806963,1
saylr1,238,445,2,4,304,190,357,0.0157785,0.0887136,1
saylr1,238,445,2,4,304,190,357,0.0157785,0.0870217,1
saylr1,238,445,2,4,305,190,357,0.0157785,0.0708944,1
saylr1,238,445,2,4,307,190,357,0.0157785,0.0649524,1
saylr1,238,445,2,4,306,190,357,0.0157785,0.0821801,1
