graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_4,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
curtis54,54,124,2,15,42,13,81,0.0866527,0.00276813,1
curtis54,54,124,2,15,42,13,81,0.0866527,0.00281588,1
curtis54,54,124,2,15,41,13,81,0.0866527,0.0044408,1
curtis54,54,124,2,15,42,13,81,0.0866527,0.00275194,1
curtis54,54,124,2,15,42,13,81,0.0866527,0.00275031,1
curtis54,54,124,2,15,41,13,81,0.0866527,0.00324052,1
curtis54,54,124,2,15,42,13,81,0.0866527,0.002708,1
curtis54,54,124,2,15,41,13,81,0.0866527,0.00446483,1
curtis54,54,124,2,15,42,13,81,0.0866527,0.00279965,1
curtis54,54,124,2,15,42,13,81,0.0866527,0.00275036,1
curtis54,54,124,2,15,41,13,81,0.0866527,0.00447529,1
curtis54,54,124,2,15,42,13,81,0.0866527,0.00274362,1
curtis54,54,124,2,15,41,13,81,0.0866527,0.00507554,1
curtis54,54,124,2,15,41,13,81,0.0866527,0.00514657,1
curtis54,54,124,2,15,41,13,81,0.0866527,0.00337842,1
