graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_4,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
tub100,100,148,2,3,133,100,150,0.029899,0.0280869,1
tub100,100,148,2,3,134,100,150,0.029899,0.0259763,1
tub100,100,148,2,3,131,100,150,0.029899,0.0484229,1
tub100,100,148,2,3,127,100,150,0.029899,0.0320459,1
tub100,100,148,2,3,126,100,150,0.029899,0.0261408,1
tub100,100,148,2,3,129,100,150,0.029899,0.0442439,1
tub100,100,148,2,3,133,100,150,0.029899,0.0381576,1
tub100,100,148,2,3,116,100,150,0.029899,0.0278653,1
tub100,100,148,2,3,129,100,150,0.029899,0.0264067,1
tub100,100,148,2,3,128,100,150,0.029899,0.0546115,1
tub100,100,148,2,3,123,100,150,0.029899,0.04201,1
tub100,100,148,2,3,127,100,150,0.029899,0.046785,1
tub100,100,148,2,3,135,100,150,0.029899,0.0259654,1
tub100,100,148,2,3,130,100,150,0.029899,0.023496,1
tub100,100,148,2,3,126,100,150,0.029899,0.0306902,1
