graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_1,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
LF10,18,32,2,4,27,14,27,0.20915,0.000356589,1
LF10,18,32,2,4,24,14,27,0.20915,0.000430989,1
LF10,18,32,2,4,24,14,27,0.20915,0.000388177,1
LF10,18,32,2,4,27,14,27,0.20915,0.000327088,1
LF10,18,32,2,4,27,14,27,0.20915,0.000398863,1
LF10,18,32,2,4,27,14,27,0.20915,0.000330747,1
LF10,18,32,2,4,27,14,27,0.20915,0.000427857,1
LF10,18,32,2,4,24,14,27,0.20915,0.000398247,1
LF10,18,32,2,4,24,14,27,0.20915,0.000362275,1
LF10,18,32,2,4,24,14,27,0.20915,0.000442539,1
LF10,18,32,2,4,24,14,27,0.20915,0.000364165,1
LF10,18,32,2,4,24,14,27,0.20915,0.000414868,1
LF10,18,32,2,4,27,14,27,0.20915,0.000341226,1
LF10,18,32,2,4,27,14,27,0.20915,0.000347858,1
LF10,18,32,2,4,24,14,27,0.20915,0.00042334,1
