graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_2,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
Trefethen_300,300,2189,9,16,166,70,450,0.0488071,0.207643,1
Trefethen_300,300,2189,9,16,161,70,450,0.0488071,0.374936,1
Trefethen_300,300,2189,9,16,163,70,450,0.0488071,0.206148,1
Trefethen_300,300,2189,9,16,168,70,450,0.0488071,0.211524,1
Trefethen_300,300,2189,9,16,184,70,450,0.0488071,0.223945,1
Trefethen_300,300,2189,9,16,157,70,450,0.0488071,0.395235,1
Trefethen_300,300,2189,9,16,172,70,450,0.0488071,0.386939,1
Trefethen_300,300,2189,9,16,171,70,450,0.0488071,0.34094,1
Trefethen_300,300,2189,9,16,176,70,450,0.0488071,0.243204,1
Trefethen_300,300,2189,9,16,172,70,450,0.0488071,0.311875,1
Trefethen_300,300,2189,9,16,161,70,450,0.0488071,0.321455,1
Trefethen_300,300,2189,9,16,173,70,450,0.0488071,0.216038,1
Trefethen_300,300,2189,9,16,161,70,450,0.0488071,0.672349,1
Trefethen_300,300,2189,9,16,184,70,450,0.0488071,0.23797,1
Trefethen_300,300,2189,9,16,161,70,450,0.0488071,0.437653,1
