graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_4,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
GD96_b,111,193,2,47,60,9,166,0.0316134,0.0146378,1
GD96_b,111,193,2,47,60,9,166,0.0316134,0.0160334,1
GD96_b,111,193,2,47,60,9,166,0.0316134,0.0140139,1
GD96_b,111,193,2,47,60,9,166,0.0316134,0.0139479,1
GD96_b,111,193,2,47,60,9,166,0.0316134,0.0178156,1
GD96_b,111,193,2,47,60,9,166,0.0316134,0.0154341,1
GD96_b,111,193,2,47,60,9,166,0.0316134,0.0204487,1
GD96_b,111,193,2,47,60,9,166,0.0316134,0.0140173,1
GD96_b,111,193,2,47,60,9,166,0.0316134,0.0137695,1
GD96_b,111,193,2,47,60,9,166,0.0316134,0.0144085,1
GD96_b,111,193,2,47,60,9,166,0.0316134,0.0159691,1
GD96_b,111,193,2,47,60,9,166,0.0316134,0.0145518,1
GD96_b,111,193,2,47,60,9,166,0.0316134,0.0142761,1
GD96_b,111,193,2,47,60,9,166,0.0316134,0.0169539,1
GD96_b,111,193,2,47,60,9,166,0.0316134,0.014091,1
