graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_4,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
GD96_d,180,228,1,27,211,25,315,0.0141527,0.0187598,1
GD96_d,180,228,1,27,211,25,315,0.0141527,0.0185273,1
GD96_d,180,228,1,27,211,25,315,0.0141527,0.0183826,1
GD96_d,180,228,1,27,211,25,315,0.0141527,0.0184152,1
GD96_d,180,228,1,27,211,25,315,0.0141527,0.019316,1
GD96_d,180,228,1,27,211,25,315,0.0141527,0.018372,1
GD96_d,180,228,1,27,211,25,315,0.0141527,0.0178241,1
GD96_d,180,228,1,27,211,25,315,0.0141527,0.0176478,1
GD96_d,180,228,1,27,211,25,315,0.0141527,0.0177041,1
GD96_d,180,228,1,27,211,25,315,0.0141527,0.0178693,1
GD96_d,180,228,1,27,211,25,315,0.0141527,0.0176911,1
GD96_d,180,228,1,27,211,25,315,0.0141527,0.017748,1
GD96_d,180,228,1,27,211,25,315,0.0141527,0.0177423,1
GD96_d,180,228,1,27,211,25,315,0.0141527,0.0176057,1
GD96_d,180,228,1,27,211,25,315,0.0141527,0.0176808,1
