graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_2,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
random_graph17-order150-edge_probability-0.5,150,5651,62,92,25,6,225,0.505682,0.0932137,1
random_graph17-order150-edge_probability-0.5,150,5651,62,92,24,6,225,0.505682,0.169486,1
random_graph17-order150-edge_probability-0.5,150,5651,62,92,24,6,225,0.505682,0.13038,1
random_graph17-order150-edge_probability-0.5,150,5651,62,92,28,6,225,0.505682,0.138234,1
random_graph17-order150-edge_probability-0.5,150,5651,62,92,26,6,225,0.505682,0.138012,1
random_graph17-order150-edge_probability-0.5,150,5651,62,92,23,6,225,0.505682,0.134421,1
random_graph17-order150-edge_probability-0.5,150,5651,62,92,25,6,225,0.505682,0.0964024,1
random_graph17-order150-edge_probability-0.5,150,5651,62,92,23,6,225,0.505682,0.107869,1
random_graph17-order150-edge_probability-0.5,150,5651,62,92,22,6,225,0.505682,0.133012,1
random_graph17-order150-edge_probability-0.5,150,5651,62,92,24,6,225,0.505682,0.122153,1
random_graph17-order150-edge_probability-0.5,150,5651,62,92,24,6,225,0.505682,0.21414,1
random_graph17-order150-edge_probability-0.5,150,5651,62,92,28,6,225,0.505682,0.111353,1
random_graph17-order150-edge_probability-0.5,150,5651,62,92,23,6,225,0.505682,0.410085,1
random_graph17-order150-edge_probability-0.5,150,5651,62,92,23,6,225,0.505682,0.0962879,1
random_graph17-order150-edge_probability-0.5,150,5651,62,92,24,6,225,0.505682,0.233054,1
