graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,GA_fitness_heuristic1,ACO_fitness_20_10,lower_bound,upper_bound,elapsed_time_GA(seconds),elapsed_time_ACO(seconds)
./representative_set/will57.txt,57,127,1,10,73,70,21,85,16.0882,1.14935
./representative_set/will57.txt,57,127,1,10,75,61,21,85,20.2779,0.321286
./representative_set/will57.txt,57,127,1,10,71,51,21,85,17.1433,0.282214
./representative_set/will57.txt,57,127,1,10,80,54,21,85,18.9538,0.332101
./representative_set/will57.txt,57,127,1,10,82,51,21,85,23.7027,0.335606
./representative_set/will57.txt,57,127,1,10,68,43,21,85,24.1676,0.290693
./representative_set/will57.txt,57,127,1,10,68,43,21,85,18.1832,0.289853
./representative_set/will57.txt,57,127,1,10,73,51,21,85,24.0366,0.307312
./representative_set/will57.txt,57,127,1,10,74,52,21,85,17.5196,0.313449
./representative_set/will57.txt,57,127,1,10,71,56,21,85,16.8913,0.276963
