graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_4,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
bfwb62,62,140,1,12,69,19,108,0.0740349,0.00919808,1
bfwb62,62,140,1,12,73,19,108,0.0740349,0.00660079,1
bfwb62,62,140,1,12,71,19,108,0.0740349,0.0074963,1
bfwb62,62,140,1,12,73,19,108,0.0740349,0.00893438,1
bfwb62,62,140,1,12,71,19,108,0.0740349,0.00844645,1
bfwb62,62,140,1,12,74,19,108,0.0740349,0.00826405,1
bfwb62,62,140,1,12,68,19,108,0.0740349,0.00784805,1
bfwb62,62,140,1,12,71,19,108,0.0740349,0.00702461,1
bfwb62,62,140,1,12,71,19,108,0.0740349,0.00755744,1
bfwb62,62,140,1,12,73,19,108,0.0740349,0.00973905,1
bfwb62,62,140,1,12,71,19,108,0.0740349,0.00755692,1
bfwb62,62,140,1,12,70,19,108,0.0740349,0.0124364,1
bfwb62,62,140,1,12,71,19,108,0.0740349,0.00690316,1
bfwb62,62,140,1,12,71,19,108,0.0740349,0.00679878,1
bfwb62,62,140,1,12,70,19,108,0.0740349,0.0101169,1
