graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_4,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
dw256A,512,1004,2,7,601,256,768,0.0076749,1.4816,1
dw256A,512,1004,2,7,617,256,768,0.0076749,0.863205,1
dw256A,512,1004,2,7,616,256,768,0.0076749,1.27126,1
dw256A,512,1004,2,7,616,256,768,0.0076749,1.60163,1
dw256A,512,1004,2,7,598,256,768,0.0076749,1.4803,1
dw256A,512,1004,2,7,666,256,768,0.0076749,0.6096,1
dw256A,512,1004,2,7,643,256,768,0.0076749,2.01193,1
dw256A,512,1004,2,7,631,256,768,0.0076749,1.04118,1
dw256A,512,1004,2,7,619,256,768,0.0076749,0.781097,1
dw256A,512,1004,2,7,621,256,768,0.0076749,0.937725,1
dw256A,512,1004,2,7,661,256,768,0.0076749,0.714866,1
dw256A,512,1004,2,7,619,256,768,0.0076749,1.64326,1
dw256A,512,1004,2,7,656,256,768,0.0076749,0.696348,1
dw256A,512,1004,2,7,618,256,768,0.0076749,2.11161,1
dw256A,512,1004,2,7,617,256,768,0.0076749,1.79412,1
