graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_4,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
rw136,136,373,2,7,114,68,204,0.0406318,0.0525026,1
rw136,136,373,2,7,114,68,204,0.0406318,0.0477302,1
rw136,136,373,2,7,111,68,204,0.0406318,0.0514245,1
rw136,136,373,2,7,110,68,204,0.0406318,0.0665272,1
rw136,136,373,2,7,114,68,204,0.0406318,0.0488698,1
rw136,136,373,2,7,114,68,204,0.0406318,0.0546048,1
rw136,136,373,2,7,114,68,204,0.0406318,0.0471232,1
rw136,136,373,2,7,114,68,204,0.0406318,0.0462516,1
rw136,136,373,2,7,114,68,204,0.0406318,0.0511468,1
rw136,136,373,2,7,114,68,204,0.0406318,0.0566866,1
rw136,136,373,2,7,114,68,204,0.0406318,0.0457457,1
rw136,136,373,2,7,114,68,204,0.0406318,0.0467929,1
rw136,136,373,2,7,109,68,204,0.0406318,0.0829458,1
rw136,136,373,2,7,114,68,204,0.0406318,0.0476898,1
rw136,136,373,2,7,114,68,204,0.0406318,0.0488546,1
