graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_4,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
tols340,340,1649,1,89,204,15,535,0.0286136,0.429025,1
tols340,340,1649,1,89,204,15,535,0.0286136,0.368065,1
tols340,340,1649,1,89,204,15,535,0.0286136,0.353426,1
tols340,340,1649,1,89,204,15,535,0.0286136,0.337583,1
tols340,340,1649,1,89,204,15,535,0.0286136,0.337441,1
tols340,340,1649,1,89,204,15,535,0.0286136,0.34028,1
tols340,340,1649,1,89,204,15,535,0.0286136,0.339026,1
tols340,340,1649,1,89,204,15,535,0.0286136,0.367046,1
tols340,340,1649,1,89,204,15,535,0.0286136,0.413233,1
tols340,340,1649,1,89,204,15,535,0.0286136,0.36735,1
tols340,340,1649,1,89,204,15,535,0.0286136,0.359903,1
tols340,340,1649,1,89,204,15,535,0.0286136,0.359362,1
tols340,340,1649,1,89,204,15,535,0.0286136,0.370507,1
tols340,340,1649,1,89,204,15,535,0.0286136,0.377501,1
tols340,340,1649,1,89,204,15,535,0.0286136,0.388592,1
