graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_4,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
cycle7-order175,175,175,2,2,262,-1,262,0.0114943,0.0848103,1
cycle7-order175,175,175,2,2,255,-1,262,0.0114943,0.158674,1
cycle7-order175,175,175,2,2,259,-1,262,0.0114943,0.138899,1
cycle7-order175,175,175,2,2,256,-1,262,0.0114943,0.143384,1
cycle7-order175,175,175,2,2,258,-1,262,0.0114943,0.145249,1
cycle7-order175,175,175,2,2,256,-1,262,0.0114943,0.173442,1
cycle7-order175,175,175,2,2,264,-1,262,0.0114943,0.0518151,1
cycle7-order175,175,175,2,2,262,-1,262,0.0114943,0.055302,1
cycle7-order175,175,175,2,2,258,-1,262,0.0114943,0.11956,1
cycle7-order175,175,175,2,2,257,-1,262,0.0114943,0.209853,1
cycle7-order175,175,175,2,2,262,-1,262,0.0114943,0.062053,1
cycle7-order175,175,175,2,2,262,-1,262,0.0114943,0.164086,1
cycle7-order175,175,175,2,2,257,-1,262,0.0114943,0.131911,1
cycle7-order175,175,175,2,2,264,-1,262,0.0114943,0.0807967,1
cycle7-order175,175,175,2,2,257,-1,262,0.0114943,0.131958,1
