graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_4,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
ash85,85,219,2,9,78,34,127,0.0613445,0.0197217,1
ash85,85,219,2,9,78,34,127,0.0613445,0.0220345,1
ash85,85,219,2,9,78,34,127,0.0613445,0.0184434,1
ash85,85,219,2,9,78,34,127,0.0613445,0.019494,1
ash85,85,219,2,9,79,34,127,0.0613445,0.0169055,1
ash85,85,219,2,9,78,34,127,0.0613445,0.0276415,1
ash85,85,219,2,9,75,34,127,0.0613445,0.0181378,1
ash85,85,219,2,9,77,34,127,0.0613445,0.0314719,1
ash85,85,219,2,9,78,34,127,0.0613445,0.0224814,1
ash85,85,219,2,9,78,34,127,0.0613445,0.0299431,1
ash85,85,219,2,9,78,34,127,0.0613445,0.0251359,1
ash85,85,219,2,9,79,34,127,0.0613445,0.0162687,1
ash85,85,219,2,9,79,34,127,0.0613445,0.016437,1
ash85,85,219,2,9,78,34,127,0.0613445,0.0228965,1
ash85,85,219,2,9,78,34,127,0.0613445,0.023572,1
