graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_4,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
can__161,161,608,5,16,105,37,241,0.047205,0.0684471,1
can__161,161,608,5,16,108,37,241,0.047205,0.0714106,1
can__161,161,608,5,16,112,37,241,0.047205,0.0921138,1
can__161,161,608,5,16,107,37,241,0.047205,0.0913801,1
can__161,161,608,5,16,112,37,241,0.047205,0.0919063,1
can__161,161,608,5,16,113,37,241,0.047205,0.0641752,1
can__161,161,608,5,16,109,37,241,0.047205,0.0710014,1
can__161,161,608,5,16,113,37,241,0.047205,0.0630059,1
can__161,161,608,5,16,112,37,241,0.047205,0.110405,1
can__161,161,608,5,16,109,37,241,0.047205,0.0789339,1
can__161,161,608,5,16,112,37,241,0.047205,0.103608,1
can__161,161,608,5,16,112,37,241,0.047205,0.126524,1
can__161,161,608,5,16,112,37,241,0.047205,0.119173,1
can__161,161,608,5,16,112,37,241,0.047205,0.114183,1
can__161,161,608,5,16,111,37,241,0.047205,0.0714722,1
