graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_4,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
cavity01,317,4237,8,61,40,20,475,0.0845945,0.49783,1
cavity01,317,4237,8,61,40,20,475,0.0845945,0.466928,1
cavity01,317,4237,8,61,40,20,475,0.0845945,0.458846,1
cavity01,317,4237,8,61,40,20,475,0.0845945,0.487387,1
cavity01,317,4237,8,61,40,20,475,0.0845945,0.518241,1
cavity01,317,4237,8,61,40,20,475,0.0845945,0.465963,1
cavity01,317,4237,8,61,40,20,475,0.0845945,0.459642,1
cavity01,317,4237,8,61,40,20,475,0.0845945,0.482643,1
cavity01,317,4237,8,61,40,20,475,0.0845945,0.474276,1
cavity01,317,4237,8,61,40,20,475,0.0845945,0.464542,1
cavity01,317,4237,8,61,40,20,475,0.0845945,0.441766,1
cavity01,317,4237,8,61,40,20,475,0.0845945,0.438844,1
cavity01,317,4237,8,61,40,20,475,0.0845945,0.435121,1
cavity01,317,4237,8,61,40,20,475,0.0845945,0.438794,1
cavity01,317,4237,8,61,40,20,475,0.0845945,0.45689,1
