graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_4,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
ck104,104,444,5,9,56,41,156,0.0828977,0.0310047,1
ck104,104,444,5,9,56,41,156,0.0828977,0.0305613,1
ck104,104,444,5,9,56,41,156,0.0828977,0.0302801,1
ck104,104,444,5,9,49,41,156,0.0828977,0.0303623,1
ck104,104,444,5,9,56,41,156,0.0828977,0.0303498,1
ck104,104,444,5,9,56,41,156,0.0828977,0.0294549,1
ck104,104,444,5,9,52,41,156,0.0828977,0.0362755,1
ck104,104,444,5,9,56,41,156,0.0828977,0.0296439,1
ck104,104,444,5,9,56,41,156,0.0828977,0.0298171,1
ck104,104,444,5,9,56,41,156,0.0828977,0.0297373,1
ck104,104,444,5,9,56,41,156,0.0828977,0.0308145,1
ck104,104,444,5,9,56,41,156,0.0828977,0.0304321,1
ck104,104,444,5,9,56,41,156,0.0828977,0.0303347,1
ck104,104,444,5,9,56,41,156,0.0828977,0.027173,1
ck104,104,444,5,9,56,41,156,0.0828977,0.0303464,1
