graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_4,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
dwt__245,245,608,1,12,262,75,428,0.0203413,0.126419,1
dwt__245,245,608,1,12,266,75,428,0.0203413,0.13599,1
dwt__245,245,608,1,12,266,75,428,0.0203413,0.126995,1
dwt__245,245,608,1,12,266,75,428,0.0203413,0.129101,1
dwt__245,245,608,1,12,266,75,428,0.0203413,0.131913,1
dwt__245,245,608,1,12,263,75,428,0.0203413,0.152231,1
dwt__245,245,608,1,12,266,75,428,0.0203413,0.125713,1
dwt__245,245,608,1,12,266,75,428,0.0203413,0.136387,1
dwt__245,245,608,1,12,266,75,428,0.0203413,0.125169,1
dwt__245,245,608,1,12,266,75,428,0.0203413,0.135113,1
dwt__245,245,608,1,12,266,75,428,0.0203413,0.136589,1
dwt__245,245,608,1,12,264,75,428,0.0203413,0.129713,1
dwt__245,245,608,1,12,266,75,428,0.0203413,0.133603,1
dwt__245,245,608,1,12,266,75,428,0.0203413,0.140279,1
dwt__245,245,608,1,12,265,75,428,0.0203413,0.192352,1
