graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_4,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
fidap031,3909,55695,8,74,2077,208,5863,0.00729165,249.458,1
fidap031,3909,55695,8,74,2082,208,5863,0.00729165,196.095,1
fidap031,3909,55695,8,74,1983,208,5863,0.00729165,220.551,1
fidap031,3909,55695,8,74,1924,208,5863,0.00729165,218.934,1
fidap031,3909,55695,8,74,2028,208,5863,0.00729165,219.462,1
fidap031,3909,55695,8,74,1941,208,5863,0.00729165,213.531,1
fidap031,3909,55695,8,74,2185,208,5863,0.00729165,216.872,1
fidap031,3909,55695,8,74,2003,208,5863,0.00729165,237.748,1
fidap031,3909,55695,8,74,2088,208,5863,0.00729165,216.35,1
fidap031,3909,55695,8,74,2116,208,5863,0.00729165,176.266,1
fidap031,3909,55695,8,74,2029,208,5863,0.00729165,228.164,1
fidap031,3909,55695,8,74,1889,208,5863,0.00729165,220.785,1
fidap031,3909,55695,8,74,1974,208,5863,0.00729165,229.786,1
fidap031,3909,55695,8,74,1942,208,5863,0.00729165,211.598,1
fidap031,3909,55695,8,74,1940,208,5863,0.00729165,205.849,1
