graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_4,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
fidapm03,2532,23924,6,45,637,220,3798,0.00746634,37.0614,1
fidapm03,2532,23924,6,45,637,220,3798,0.00746634,38.8283,1
fidapm03,2532,23924,6,45,637,220,3798,0.00746634,40.0482,1
fidapm03,2532,23924,6,45,637,220,3798,0.00746634,37.033,1
fidapm03,2532,23924,6,45,637,220,3798,0.00746634,36.5547,1
fidapm03,2532,23924,6,45,637,220,3798,0.00746634,39.2345,1
fidapm03,2532,23924,6,45,637,220,3798,0.00746634,37.4441,1
fidapm03,2532,23924,6,45,637,220,3798,0.00746634,39.4649,1
fidapm03,2532,23924,6,45,637,220,3798,0.00746634,36.7542,1
fidapm03,2532,23924,6,45,637,220,3798,0.00746634,39.407,1
fidapm03,2532,23924,6,45,637,220,3798,0.00746634,39.9506,1
fidapm03,2532,23924,6,45,637,220,3798,0.00746634,36.9815,1
fidapm03,2532,23924,6,45,637,220,3798,0.00746634,36.6027,1
fidapm03,2532,23924,6,45,637,220,3798,0.00746634,38.0676,1
fidapm03,2532,23924,6,45,637,220,3798,0.00746634,41.4393,1
