graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_4,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
fs_760_2,760,3518,3,23,528,126,1140,0.0121975,2.42248,1
fs_760_2,760,3518,3,23,529,126,1140,0.0121975,1.86863,1
fs_760_2,760,3518,3,23,529,126,1140,0.0121975,1.69109,1
fs_760_2,760,3518,3,23,528,126,1140,0.0121975,2.20002,1
fs_760_2,760,3518,3,23,529,126,1140,0.0121975,1.71536,1
fs_760_2,760,3518,3,23,529,126,1140,0.0121975,1.87573,1
fs_760_2,760,3518,3,23,529,126,1140,0.0121975,1.77687,1
fs_760_2,760,3518,3,23,529,126,1140,0.0121975,1.87264,1
fs_760_2,760,3518,3,23,529,126,1140,0.0121975,1.75322,1
fs_760_2,760,3518,3,23,529,126,1140,0.0121975,1.81705,1
fs_760_2,760,3518,3,23,529,126,1140,0.0121975,1.80145,1
fs_760_2,760,3518,3,23,529,126,1140,0.0121975,1.76111,1
fs_760_2,760,3518,3,23,529,126,1140,0.0121975,1.76717,1
fs_760_2,760,3518,3,23,529,126,1140,0.0121975,1.70418,1
fs_760_2,760,3518,3,23,527,126,1140,0.0121975,2.73628,1
