graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_4,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
gre_1107,1107,4557,3,11,974,369,1660,0.007444,10.0924,1
gre_1107,1107,4557,3,11,963,369,1660,0.007444,13.9014,1
gre_1107,1107,4557,3,11,930,369,1660,0.007444,24.3981,1
gre_1107,1107,4557,3,11,935,369,1660,0.007444,20.654,1
gre_1107,1107,4557,3,11,925,369,1660,0.007444,25.9525,1
gre_1107,1107,4557,3,11,926,369,1660,0.007444,29.6173,1
gre_1107,1107,4557,3,11,914,369,1660,0.007444,21.9806,1
gre_1107,1107,4557,3,11,999,369,1660,0.007444,9.80865,1
gre_1107,1107,4557,3,11,929,369,1660,0.007444,16.956,1
gre_1107,1107,4557,3,11,944,369,1660,0.007444,11.0709,1
gre_1107,1107,4557,3,11,988,369,1660,0.007444,12.7815,1
gre_1107,1107,4557,3,11,937,369,1660,0.007444,16.7838,1
gre_1107,1107,4557,3,11,939,369,1660,0.007444,24.9034,1
gre_1107,1107,4557,3,11,932,369,1660,0.007444,16.5489,1
gre_1107,1107,4557,3,11,920,369,1660,0.007444,20.5858,1
