graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_4,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
gre__115,115,267,2,9,148,46,172,0.0407323,0.0371221,1
gre__115,115,267,2,9,140,46,172,0.0407323,0.03464,1
gre__115,115,267,2,9,131,46,172,0.0407323,0.02882,1
gre__115,115,267,2,9,136,46,172,0.0407323,0.0459882,1
gre__115,115,267,2,9,132,46,172,0.0407323,0.0288771,1
gre__115,115,267,2,9,139,46,172,0.0407323,0.0557619,1
gre__115,115,267,2,9,145,46,172,0.0407323,0.0282328,1
gre__115,115,267,2,9,133,46,172,0.0407323,0.0440038,1
gre__115,115,267,2,9,131,46,172,0.0407323,0.0564338,1
gre__115,115,267,2,9,134,46,172,0.0407323,0.0470981,1
gre__115,115,267,2,9,151,46,172,0.0407323,0.0287325,1
gre__115,115,267,2,9,150,46,172,0.0407323,0.0322976,1
gre__115,115,267,2,9,139,46,172,0.0407323,0.031104,1
gre__115,115,267,2,9,150,46,172,0.0407323,0.0282615,1
gre__115,115,267,2,9,132,46,172,0.0407323,0.0756642,1
