graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_4,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
lop163,163,598,4,8,137,72,244,0.0452927,0.0795124,1
lop163,163,598,4,8,166,72,244,0.0452927,0.0647413,1
lop163,163,598,4,8,165,72,244,0.0452927,0.0649324,1
lop163,163,598,4,8,132,72,244,0.0452927,0.0874104,1
lop163,163,598,4,8,145,72,244,0.0452927,0.135077,1
lop163,163,598,4,8,182,72,244,0.0452927,0.0599397,1
lop163,163,598,4,8,162,72,244,0.0452927,0.0674429,1
lop163,163,598,4,8,155,72,244,0.0452927,0.0671106,1
lop163,163,598,4,8,132,72,244,0.0452927,0.0802889,1
lop163,163,598,4,8,165,72,244,0.0452927,0.0956413,1
lop163,163,598,4,8,133,72,244,0.0452927,0.084842,1
lop163,163,598,4,8,168,72,244,0.0452927,0.0668981,1
lop163,163,598,4,8,173,72,244,0.0452927,0.0730971,1
lop163,163,598,4,8,140,72,244,0.0452927,0.0782601,1
lop163,163,598,4,8,142,72,244,0.0452927,0.110077,1
