graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_4,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
mcfe,765,15358,16,109,180,27,1146,0.0525545,3.9594,1
mcfe,765,15358,16,109,180,27,1146,0.0525545,4.04311,1
mcfe,765,15358,16,109,180,27,1146,0.0525545,4.51373,1
mcfe,765,15358,16,109,180,27,1146,0.0525545,3.73538,1
mcfe,765,15358,16,109,180,27,1146,0.0525545,3.91319,1
mcfe,765,15358,16,109,180,27,1146,0.0525545,3.45723,1
mcfe,765,15358,16,109,180,27,1146,0.0525545,3.95224,1
mcfe,765,15358,16,109,180,27,1146,0.0525545,4.10744,1
mcfe,765,15358,16,109,180,27,1146,0.0525545,3.85372,1
mcfe,765,15358,16,109,180,27,1146,0.0525545,3.91395,1
mcfe,765,15358,16,109,180,27,1146,0.0525545,3.59465,1
mcfe,765,15358,16,109,180,27,1146,0.0525545,3.94576,1
mcfe,765,15358,16,109,180,27,1146,0.0525545,3.7538,1
mcfe,765,15358,16,109,180,27,1146,0.0525545,3.96859,1
mcfe,765,15358,16,109,180,27,1146,0.0525545,3.81236,1
