graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_4,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
nos2,957,1590,1,4,1286,765,1515,0.00347582,5.61378,1
nos2,957,1590,1,4,1255,765,1515,0.00347582,6.27201,1
nos2,957,1590,1,4,1304,765,1515,0.00347582,4.85887,1
nos2,957,1590,1,4,1290,765,1515,0.00347582,6.55032,1
nos2,957,1590,1,4,1320,765,1515,0.00347582,4.65791,1
nos2,957,1590,1,4,1293,765,1515,0.00347582,5.04984,1
nos2,957,1590,1,4,1305,765,1515,0.00347582,7.11318,1
nos2,957,1590,1,4,1303,765,1515,0.00347582,5.68572,1
nos2,957,1590,1,4,1285,765,1515,0.00347582,4.99256,1
nos2,957,1590,1,4,1274,765,1515,0.00347582,6.68712,1
nos2,957,1590,1,4,1285,765,1515,0.00347582,6.78072,1
nos2,957,1590,1,4,1301,765,1515,0.00347582,5.10406,1
nos2,957,1590,1,4,1292,765,1515,0.00347582,4.62932,1
nos2,957,1590,1,4,1277,765,1515,0.00347582,5.21446,1
nos2,957,1590,1,4,1307,765,1515,0.00347582,7.45939,1
