graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_4,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
olm500,500,997,2,5,464,333,750,0.00799198,0.374915,1
olm500,500,997,2,5,464,333,750,0.00799198,0.365042,1
olm500,500,997,2,5,464,333,750,0.00799198,0.369759,1
olm500,500,997,2,5,464,333,750,0.00799198,0.366905,1
olm500,500,997,2,5,464,333,750,0.00799198,0.365206,1
olm500,500,997,2,5,464,333,750,0.00799198,0.367104,1
olm500,500,997,2,5,464,333,750,0.00799198,0.365465,1
olm500,500,997,2,5,464,333,750,0.00799198,0.364638,1
olm500,500,997,2,5,464,333,750,0.00799198,0.367226,1
olm500,500,997,2,5,464,333,750,0.00799198,0.364236,1
olm500,500,997,2,5,460,333,750,0.00799198,0.370078,1
olm500,500,997,2,5,464,333,750,0.00799198,0.36727,1
olm500,500,997,2,5,464,333,750,0.00799198,0.364219,1
olm500,500,997,2,5,458,333,750,0.00799198,0.406299,1
olm500,500,997,2,5,460,333,750,0.00799198,0.37204,1
