graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_4,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
rdb450,450,1065,3,5,530,300,675,0.0105419,0.538936,1
rdb450,450,1065,3,5,520,300,675,0.0105419,0.578354,1
rdb450,450,1065,3,5,516,300,675,0.0105419,1.07961,1
rdb450,450,1065,3,5,510,300,675,0.0105419,0.733967,1
rdb450,450,1065,3,5,502,300,675,0.0105419,0.540692,1
rdb450,450,1065,3,5,556,300,675,0.0105419,0.858267,1
rdb450,450,1065,3,5,499,300,675,0.0105419,1.11179,1
rdb450,450,1065,3,5,490,300,675,0.0105419,1.33892,1
rdb450,450,1065,3,5,479,300,675,0.0105419,1.16195,1
rdb450,450,1065,3,5,511,300,675,0.0105419,0.782726,1
rdb450,450,1065,3,5,519,300,675,0.0105419,0.576257,1
rdb450,450,1065,3,5,502,300,675,0.0105419,0.93998,1
rdb450,450,1065,3,5,494,300,675,0.0105419,0.981626,1
rdb450,450,1065,3,5,486,300,675,0.0105419,1.74961,1
rdb450,450,1065,3,5,567,300,675,0.0105419,0.447018,1
