graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_4,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
sherman4,1104,1341,0,6,2324,630,2493,0.00220249,2.4005,1
sherman4,1104,1341,0,6,2284,630,2493,0.00220249,6.001,1
sherman4,1104,1341,0,6,2280,630,2493,0.00220249,3.65506,1
sherman4,1104,1341,0,6,2345,630,2493,0.00220249,2.45319,1
sherman4,1104,1341,0,6,2282,630,2493,0.00220249,3.04496,1
sherman4,1104,1341,0,6,2275,630,2493,0.00220249,3.2219,1
sherman4,1104,1341,0,6,2295,630,2493,0.00220249,4.59107,1
sherman4,1104,1341,0,6,2296,630,2493,0.00220249,4.31297,1
sherman4,1104,1341,0,6,2280,630,2493,0.00220249,5.63627,1
sherman4,1104,1341,0,6,2317,630,2493,0.00220249,3.11803,1
sherman4,1104,1341,0,6,2288,630,2493,0.00220249,4.02711,1
sherman4,1104,1341,0,6,2288,630,2493,0.00220249,3.4957,1
sherman4,1104,1341,0,6,2280,630,2493,0.00220249,4.89736,1
sherman4,1104,1341,0,6,2285,630,2493,0.00220249,2.14447,1
sherman4,1104,1341,0,6,2279,630,2493,0.00220249,2.76346,1
