graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_4,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
steam3,80,424,7,11,32,26,120,0.134177,0.0245035,1
steam3,80,424,7,11,32,26,120,0.134177,0.0203537,1
steam3,80,424,7,11,36,26,120,0.134177,0.0220068,1
steam3,80,424,7,11,32,26,120,0.134177,0.0222518,1
steam3,80,424,7,11,34,26,120,0.134177,0.0226089,1
steam3,80,424,7,11,32,26,120,0.134177,0.0203557,1
steam3,80,424,7,11,32,26,120,0.134177,0.0187406,1
steam3,80,424,7,11,32,26,120,0.134177,0.0243124,1
steam3,80,424,7,11,36,26,120,0.134177,0.0212435,1
steam3,80,424,7,11,36,26,120,0.134177,0.0182075,1
steam3,80,424,7,11,33,26,120,0.134177,0.0200623,1
steam3,80,424,7,11,28,26,120,0.134177,0.0200986,1
steam3,80,424,7,11,32,26,120,0.134177,0.0195025,1
steam3,80,424,7,11,32,26,120,0.134177,0.0184916,1
steam3,80,424,7,11,32,26,120,0.134177,0.0224629,1
