graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_4,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
watt__1,1856,4816,1,6,2166,1060,3248,0.00279766,48.0782,1
watt__1,1856,4816,1,6,2133,1060,3248,0.00279766,64.8614,1
watt__1,1856,4816,1,6,2143,1060,3248,0.00279766,35.2329,1
watt__1,1856,4816,1,6,2110,1060,3248,0.00279766,59.8806,1
watt__1,1856,4816,1,6,2107,1060,3248,0.00279766,68.9676,1
watt__1,1856,4816,1,6,2094,1060,3248,0.00279766,34.5481,1
watt__1,1856,4816,1,6,2047,1060,3248,0.00279766,44.4984,1
watt__1,1856,4816,1,6,2076,1060,3248,0.00279766,35.5522,1
watt__1,1856,4816,1,6,2102,1060,3248,0.00279766,29.7311,1
watt__1,1856,4816,1,6,2147,1060,3248,0.00279766,64.3395,1
watt__1,1856,4816,1,6,2059,1060,3248,0.00279766,44.3853,1
watt__1,1856,4816,1,6,2128,1060,3248,0.00279766,43.8767,1
watt__1,1856,4816,1,6,2101,1060,3248,0.00279766,41.9553,1
watt__1,1856,4816,1,6,2092,1060,3248,0.00279766,69.3892,1
watt__1,1856,4816,1,6,2106,1060,3248,0.00279766,49.0204,1
