graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_4,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
CSphd,1882,1740,1,46,2504,160,3311,0.000983039,6.01384,1
CSphd,1882,1740,1,46,2504,160,3311,0.000983039,6.26806,1
CSphd,1882,1740,1,46,2504,160,3311,0.000983039,6.43802,1
CSphd,1882,1740,1,46,2504,160,3311,0.000983039,6.36252,1
CSphd,1882,1740,1,46,2504,160,3311,0.000983039,7.29315,1
CSphd,1882,1740,1,46,2504,160,3311,0.000983039,6.33988,1
CSphd,1882,1740,1,46,2504,160,3311,0.000983039,6.47756,1
CSphd,1882,1740,1,46,2504,160,3311,0.000983039,6.27666,1
CSphd,1882,1740,1,46,2504,160,3311,0.000983039,6.4283,1
CSphd,1882,1740,1,46,2504,160,3311,0.000983039,7.48442,1
CSphd,1882,1740,1,46,2504,160,3311,0.000983039,6.84938,1
CSphd,1882,1740,1,46,2504,160,3311,0.000983039,6.41725,1
CSphd,1882,1740,1,46,2504,160,3311,0.000983039,6.69771,1
CSphd,1882,1740,1,46,2504,160,3311,0.000983039,6.41935,1
CSphd,1882,1740,1,46,2504,160,3311,0.000983039,6.29332,1
