graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_4,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
L,956,1820,2,4,1218,764,1434,0.00398694,4.15278,1
L,956,1820,2,4,1154,764,1434,0.00398694,4.01133,1
L,956,1820,2,4,1184,764,1434,0.00398694,5.83903,1
L,956,1820,2,4,1238,764,1434,0.00398694,2.83134,1
L,956,1820,2,4,1239,764,1434,0.00398694,2.66775,1
L,956,1820,2,4,1220,764,1434,0.00398694,4.30959,1
L,956,1820,2,4,1156,764,1434,0.00398694,5.04755,1
L,956,1820,2,4,1236,764,1434,0.00398694,2.73802,1
L,956,1820,2,4,1229,764,1434,0.00398694,3.16547,1
L,956,1820,2,4,1136,764,1434,0.00398694,8.76483,1
L,956,1820,2,4,1172,764,1434,0.00398694,7.00059,1
L,956,1820,2,4,1153,764,1434,0.00398694,4.10189,1
L,956,1820,2,4,1166,764,1434,0.00398694,7.8762,1
L,956,1820,2,4,1201,764,1434,0.00398694,5.90739,1
L,956,1820,2,4,1145,764,1434,0.00398694,5.06982,1
