graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_4,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
Trefethen_200b,199,1337,8,15,111,49,298,0.0678646,0.28386,1
Trefethen_200b,199,1337,8,15,117,49,298,0.0678646,0.205655,1
Trefethen_200b,199,1337,8,15,113,49,298,0.0678646,0.398455,1
Trefethen_200b,199,1337,8,15,118,49,298,0.0678646,0.146248,1
Trefethen_200b,199,1337,8,15,108,49,298,0.0678646,0.179228,1
Trefethen_200b,199,1337,8,15,116,49,298,0.0678646,0.149487,1
Trefethen_200b,199,1337,8,15,114,49,298,0.0678646,0.303428,1
Trefethen_200b,199,1337,8,15,117,49,298,0.0678646,0.173134,1
Trefethen_200b,199,1337,8,15,110,49,298,0.0678646,0.1873,1
Trefethen_200b,199,1337,8,15,117,49,298,0.0678646,0.159252,1
Trefethen_200b,199,1337,8,15,115,49,298,0.0678646,0.241695,1
Trefethen_200b,199,1337,8,15,105,49,298,0.0678646,0.246285,1
Trefethen_200b,199,1337,8,15,111,49,298,0.0678646,0.180521,1
Trefethen_200b,199,1337,8,15,106,49,298,0.0678646,0.1799,1
Trefethen_200b,199,1337,8,15,130,49,298,0.0678646,0.13853,1
