graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_4,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
path5-order125,125,124,1,2,183,-1,218,0.016,0.10446,1
path5-order125,125,124,1,2,186,-1,218,0.016,0.0927351,1
path5-order125,125,124,1,2,185,-1,218,0.016,0.0732607,1
path5-order125,125,124,1,2,184,-1,218,0.016,0.0636948,1
path5-order125,125,124,1,2,185,-1,218,0.016,0.0861843,1
path5-order125,125,124,1,2,186,-1,218,0.016,0.059886,1
path5-order125,125,124,1,2,183,-1,218,0.016,0.0442936,1
path5-order125,125,124,1,2,186,-1,218,0.016,0.0479946,1
path5-order125,125,124,1,2,192,-1,218,0.016,0.0253018,1
path5-order125,125,124,1,2,189,-1,218,0.016,0.0629763,1
path5-order125,125,124,1,2,190,-1,218,0.016,0.0610023,1
path5-order125,125,124,1,2,191,-1,218,0.016,0.0278732,1
path5-order125,125,124,1,2,186,-1,218,0.016,0.0644925,1
path5-order125,125,124,1,2,188,-1,218,0.016,0.0514475,1
path5-order125,125,124,1,2,186,-1,218,0.016,0.0888845,1
