graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_4,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
star7-order175,175,174,1,174,4,4,306,0.0114286,0.0476911,1
star7-order175,175,174,1,174,4,4,306,0.0114286,0.0485873,1
star7-order175,175,174,1,174,4,4,306,0.0114286,0.0492511,1
star7-order175,175,174,1,174,4,4,306,0.0114286,0.0493109,1
star7-order175,175,174,1,174,4,4,306,0.0114286,0.0480769,1
star7-order175,175,174,1,174,4,4,306,0.0114286,0.0480112,1
star7-order175,175,174,1,174,4,4,306,0.0114286,0.0476041,1
star7-order175,175,174,1,174,4,4,306,0.0114286,0.0476942,1
star7-order175,175,174,1,174,4,4,306,0.0114286,0.048152,1
star7-order175,175,174,1,174,4,4,306,0.0114286,0.0475983,1
star7-order175,175,174,1,174,4,4,306,0.0114286,0.0473789,1
star7-order175,175,174,1,174,4,4,306,0.0114286,0.0473793,1
star7-order175,175,174,1,174,4,4,306,0.0114286,0.0479858,1
star7-order175,175,174,1,174,4,4,306,0.0114286,0.0490759,1
star7-order175,175,174,1,174,4,4,306,0.0114286,0.0492441,1
