graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_4,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
bfwb62,62,140,1,12,69,19,108,0.0740349,0.00810161,1
bfwb62,62,140,1,12,67,19,108,0.0740349,0.00956714,1
bfwb62,62,140,1,12,70,19,108,0.0740349,0.00796184,1
bfwb62,62,140,1,12,68,19,108,0.0740349,0.00860539,1
bfwb62,62,140,1,12,71,19,108,0.0740349,0.00804079,1
bfwb62,62,140,1,12,73,19,108,0.0740349,0.00745432,1
bfwb62,62,140,1,12,69,19,108,0.0740349,0.0077758,1
bfwb62,62,140,1,12,71,19,108,0.0740349,0.0131676,1
bfwb62,62,140,1,12,71,19,108,0.0740349,0.00788903,1
bfwb62,62,140,1,12,71,19,108,0.0740349,0.014993,1
bfwb62,62,140,1,12,68,19,108,0.0740349,0.0125126,1
bfwb62,62,140,1,12,71,19,108,0.0740349,0.00835388,1
bfwb62,62,140,1,12,70,19,108,0.0740349,0.00769141,1
bfwb62,62,140,1,12,72,19,108,0.0740349,0.0111642,1
bfwb62,62,140,1,12,71,19,108,0.0740349,0.00784793,1
