graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_4,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
dw256B,512,1024,2,8,598,227,768,0.00782779,1.64126,1
dw256B,512,1024,2,8,625,227,768,0.00782779,1.21964,1
dw256B,512,1024,2,8,587,227,768,0.00782779,1.5631,1
dw256B,512,1024,2,8,612,227,768,0.00782779,1.6071,1
dw256B,512,1024,2,8,584,227,768,0.00782779,1.67097,1
dw256B,512,1024,2,8,595,227,768,0.00782779,0.934774,1
dw256B,512,1024,2,8,599,227,768,0.00782779,1.46528,1
dw256B,512,1024,2,8,603,227,768,0.00782779,2.47576,1
dw256B,512,1024,2,8,607,227,768,0.00782779,1.25441,1
dw256B,512,1024,2,8,597,227,768,0.00782779,1.90291,1
dw256B,512,1024,2,8,629,227,768,0.00782779,0.670462,1
dw256B,512,1024,2,8,643,227,768,0.00782779,0.739399,1
dw256B,512,1024,2,8,613,227,768,0.00782779,1.17245,1
dw256B,512,1024,2,8,594,227,768,0.00782779,2.53218,1
dw256B,512,1024,2,8,608,227,768,0.00782779,0.721664,1
