graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_4,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
qh768,768,1322,1,13,990,219,1344,0.00448854,4.67467,1
qh768,768,1322,1,13,991,219,1344,0.00448854,4.14279,1
qh768,768,1322,1,13,990,219,1344,0.00448854,4.10511,1
qh768,768,1322,1,13,989,219,1344,0.00448854,4.75635,1
qh768,768,1322,1,13,990,219,1344,0.00448854,4.48645,1
qh768,768,1322,1,13,990,219,1344,0.00448854,4.80664,1
qh768,768,1322,1,13,991,219,1344,0.00448854,4.45822,1
qh768,768,1322,1,13,991,219,1344,0.00448854,4.64042,1
qh768,768,1322,1,13,992,219,1344,0.00448854,3.61882,1
qh768,768,1322,1,13,987,219,1344,0.00448854,4.40155,1
qh768,768,1322,1,13,989,219,1344,0.00448854,4.25927,1
qh768,768,1322,1,13,990,219,1344,0.00448854,3.79779,1
qh768,768,1322,1,13,989,219,1344,0.00448854,4.03683,1
qh768,768,1322,1,13,993,219,1344,0.00448854,3.00195,1
qh768,768,1322,1,13,991,219,1344,0.00448854,3.71127,1
