graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_4,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
rbsa480,480,16408,38,151,101,12,720,0.142728,4.87545,1
rbsa480,480,16408,38,151,108,12,720,0.142728,6.83825,1
rbsa480,480,16408,38,151,73,12,720,0.142728,2.73006,1
rbsa480,480,16408,38,151,105,12,720,0.142728,3.58552,1
rbsa480,480,16408,38,151,95,12,720,0.142728,3.86145,1
rbsa480,480,16408,38,151,92,12,720,0.142728,5.0557,1
rbsa480,480,16408,38,151,110,12,720,0.142728,2.90071,1
rbsa480,480,16408,38,151,145,12,720,0.142728,2.76339,1
rbsa480,480,16408,38,151,129,12,720,0.142728,4.68321,1
rbsa480,480,16408,38,151,163,12,720,0.142728,3.36197,1
rbsa480,480,16408,38,151,131,12,720,0.142728,3.92138,1
rbsa480,480,16408,38,151,112,12,720,0.142728,3.17694,1
rbsa480,480,16408,38,151,127,12,720,0.142728,2.56435,1
rbsa480,480,16408,38,151,149,12,720,0.142728,2.96346,1
rbsa480,480,16408,38,151,92,12,720,0.142728,6.62751,1
