graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_4,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
cycle1-order25,25,25,2,2,38,-1,37,0.0833333,0.00141595,1
cycle1-order25,25,25,2,2,37,-1,37,0.0833333,0.00134985,1
cycle1-order25,25,25,2,2,37,-1,37,0.0833333,0.00185179,1
cycle1-order25,25,25,2,2,37,-1,37,0.0833333,0.00111507,1
cycle1-order25,25,25,2,2,36,-1,37,0.0833333,0.00151892,1
cycle1-order25,25,25,2,2,37,-1,37,0.0833333,0.00153282,1
cycle1-order25,25,25,2,2,37,-1,37,0.0833333,0.00115586,1
cycle1-order25,25,25,2,2,37,-1,37,0.0833333,0.00128538,1
cycle1-order25,25,25,2,2,37,-1,37,0.0833333,0.00183239,1
cycle1-order25,25,25,2,2,36,-1,37,0.0833333,0.00129915,1
cycle1-order25,25,25,2,2,37,-1,37,0.0833333,0.00170366,1
cycle1-order25,25,25,2,2,37,-1,37,0.0833333,0.00119273,1
cycle1-order25,25,25,2,2,37,-1,37,0.0833333,0.00115969,1
cycle1-order25,25,25,2,2,38,-1,37,0.0833333,0.00129233,1
cycle1-order25,25,25,2,2,37,-1,37,0.0833333,0.00112681,1
