graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_4,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
can___96,96,336,5,8,69,42,144,0.0736842,0.0258653,1
can___96,96,336,5,8,69,42,144,0.0736842,0.0242552,1
can___96,96,336,5,8,69,42,144,0.0736842,0.0243067,1
can___96,96,336,5,8,67,42,144,0.0736842,0.0226388,1
can___96,96,336,5,8,69,42,144,0.0736842,0.0233659,1
can___96,96,336,5,8,69,42,144,0.0736842,0.0233369,1
can___96,96,336,5,8,69,42,144,0.0736842,0.0233782,1
can___96,96,336,5,8,69,42,144,0.0736842,0.0228485,1
can___96,96,336,5,8,67,42,144,0.0736842,0.0247063,1
can___96,96,336,5,8,69,42,144,0.0736842,0.0218579,1
can___96,96,336,5,8,69,42,144,0.0736842,0.0230607,1
can___96,96,336,5,8,69,42,144,0.0736842,0.022545,1
can___96,96,336,5,8,69,42,144,0.0736842,0.0228204,1
can___96,96,336,5,8,69,42,144,0.0736842,0.0228117,1
can___96,96,336,5,8,69,42,144,0.0736842,0.0241412,1
