graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_4,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
curtis54,54,124,2,15,42,13,81,0.0866527,0.00537553,1
curtis54,54,124,2,15,41,13,81,0.0866527,0.0113325,1
curtis54,54,124,2,15,42,13,81,0.0866527,0.00547948,1
curtis54,54,124,2,15,41,13,81,0.0866527,0.0104043,1
curtis54,54,124,2,15,41,13,81,0.0866527,0.00788853,1
curtis54,54,124,2,15,41,13,81,0.0866527,0.00686449,1
curtis54,54,124,2,15,41,13,81,0.0866527,0.00722333,1
curtis54,54,124,2,15,41,13,81,0.0866527,0.0100069,1
curtis54,54,124,2,15,42,13,81,0.0866527,0.00530749,1
curtis54,54,124,2,15,41,13,81,0.0866527,0.00902596,1
curtis54,54,124,2,15,42,13,81,0.0866527,0.00532559,1
curtis54,54,124,2,15,41,13,81,0.0866527,0.00668401,1
curtis54,54,124,2,15,41,13,81,0.0866527,0.00767787,1
curtis54,54,124,2,15,42,13,81,0.0866527,0.00524545,1
curtis54,54,124,2,15,41,13,81,0.0866527,0.00806941,1
