graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_4,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
dwt__245,245,608,1,12,265,75,428,0.0203413,0.13216,1
dwt__245,245,608,1,12,266,75,428,0.0203413,0.118653,1
dwt__245,245,608,1,12,266,75,428,0.0203413,0.117461,1
dwt__245,245,608,1,12,263,75,428,0.0203413,0.15249,1
dwt__245,245,608,1,12,260,75,428,0.0203413,0.141259,1
dwt__245,245,608,1,12,256,75,428,0.0203413,0.192959,1
dwt__245,245,608,1,12,262,75,428,0.0203413,0.134058,1
dwt__245,245,608,1,12,265,75,428,0.0203413,0.207752,1
dwt__245,245,608,1,12,259,75,428,0.0203413,0.12514,1
dwt__245,245,608,1,12,260,75,428,0.0203413,0.133776,1
dwt__245,245,608,1,12,265,75,428,0.0203413,0.192294,1
dwt__245,245,608,1,12,262,75,428,0.0203413,0.195207,1
dwt__245,245,608,1,12,266,75,428,0.0203413,0.123756,1
dwt__245,245,608,1,12,265,75,428,0.0203413,0.217079,1
dwt__245,245,608,1,12,266,75,428,0.0203413,0.132598,1
