graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_4,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
dwt___59,59,104,1,5,68,39,103,0.0607832,0.00720857,1
dwt___59,59,104,1,5,72,39,103,0.0607832,0.00804331,1
dwt___59,59,104,1,5,67,39,103,0.0607832,0.0138732,1
dwt___59,59,104,1,5,72,39,103,0.0607832,0.007267,1
dwt___59,59,104,1,5,68,39,103,0.0607832,0.00692452,1
dwt___59,59,104,1,5,65,39,103,0.0607832,0.0079454,1
dwt___59,59,104,1,5,69,39,103,0.0607832,0.00718493,1
dwt___59,59,104,1,5,71,39,103,0.0607832,0.00697771,1
dwt___59,59,104,1,5,71,39,103,0.0607832,0.00668744,1
dwt___59,59,104,1,5,72,39,103,0.0607832,0.00680522,1
dwt___59,59,104,1,5,71,39,103,0.0607832,0.00721772,1
dwt___59,59,104,1,5,69,39,103,0.0607832,0.010487,1
dwt___59,59,104,1,5,66,39,103,0.0607832,0.00716975,1
dwt___59,59,104,1,5,68,39,103,0.0607832,0.00805158,1
dwt___59,59,104,1,5,68,39,103,0.0607832,0.00721384,1
