graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_4,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
fidap029,2870,10442,0,8,2412,1275,4573,0.0025363,46.6442,1
fidap029,2870,10442,0,8,2422,1275,4573,0.0025363,51.681,1
fidap029,2870,10442,0,8,2459,1275,4573,0.0025363,52.4757,1
fidap029,2870,10442,0,8,2428,1275,4573,0.0025363,176.033,1
fidap029,2870,10442,0,8,2395,1275,4573,0.0025363,66.0769,1
fidap029,2870,10442,0,8,2440,1275,4573,0.0025363,139.022,1
fidap029,2870,10442,0,8,2407,1275,4573,0.0025363,140.268,1
fidap029,2870,10442,0,8,2441,1275,4573,0.0025363,82.409,1
fidap029,2870,10442,0,8,2419,1275,4573,0.0025363,56.3705,1
fidap029,2870,10442,0,8,2409,1275,4573,0.0025363,72.6336,1
fidap029,2870,10442,0,8,2428,1275,4573,0.0025363,57.0683,1
fidap029,2870,10442,0,8,2430,1275,4573,0.0025363,60.7129,1
fidap029,2870,10442,0,8,2423,1275,4573,0.0025363,88.9571,1
fidap029,2870,10442,0,8,2398,1275,4573,0.0025363,92.7132,1
fidap029,2870,10442,0,8,2418,1275,4573,0.0025363,71.2011,1
