graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_4,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
fs_183_3,183,701,1,104,104,6,320,0.0420945,0.106257,1
fs_183_3,183,701,1,104,104,6,320,0.0420945,0.122989,1
fs_183_3,183,701,1,104,104,6,320,0.0420945,0.115812,1
fs_183_3,183,701,1,104,104,6,320,0.0420945,0.105573,1
fs_183_3,183,701,1,104,104,6,320,0.0420945,0.100931,1
fs_183_3,183,701,1,104,104,6,320,0.0420945,0.102567,1
fs_183_3,183,701,1,104,104,6,320,0.0420945,0.0979938,1
fs_183_3,183,701,1,104,104,6,320,0.0420945,0.101149,1
fs_183_3,183,701,1,104,104,6,320,0.0420945,0.0986828,1
fs_183_3,183,701,1,104,104,6,320,0.0420945,0.0957399,1
fs_183_3,183,701,1,104,104,6,320,0.0420945,0.0976679,1
fs_183_3,183,701,1,104,104,6,320,0.0420945,0.0936221,1
fs_183_3,183,701,1,104,104,6,320,0.0420945,0.0923091,1
fs_183_3,183,701,1,104,104,6,320,0.0420945,0.0937313,1
fs_183_3,183,701,1,104,104,6,320,0.0420945,0.0982314,1
