graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_4,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
jgl009,9,32,5,8,4,4,13,0.888889,0.000491939,1
jgl009,9,32,5,8,4,4,13,0.888889,0.000470248,1
jgl009,9,32,5,8,4,4,13,0.888889,0.000465337,1
jgl009,9,32,5,8,4,4,13,0.888889,0.000467515,1
jgl009,9,32,5,8,4,4,13,0.888889,0.000459533,1
jgl009,9,32,5,8,4,4,13,0.888889,0.000461928,1
jgl009,9,32,5,8,4,4,13,0.888889,0.000473844,1
jgl009,9,32,5,8,4,4,13,0.888889,0.000471374,1
jgl009,9,32,5,8,4,4,13,0.888889,0.00045815,1
jgl009,9,32,5,8,4,4,13,0.888889,0.000463668,1
jgl009,9,32,5,8,4,4,13,0.888889,0.000466125,1
jgl009,9,32,5,8,4,4,13,0.888889,0.000463021,1
jgl009,9,32,5,8,4,4,13,0.888889,0.000459502,1
jgl009,9,32,5,8,4,4,13,0.888889,0.00046104,1
jgl009,9,32,5,8,4,4,13,0.888889,0.0004638,1
