graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_4,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
lns__131,131,275,0,12,176,40,239,0.0322959,0.0247492,1
lns__131,131,275,0,12,176,40,239,0.0322959,0.0292128,1
lns__131,131,275,0,12,176,40,239,0.0322959,0.0254469,1
lns__131,131,275,0,12,176,40,239,0.0322959,0.0259393,1
lns__131,131,275,0,12,176,40,239,0.0322959,0.025409,1
lns__131,131,275,0,12,176,40,239,0.0322959,0.0255715,1
lns__131,131,275,0,12,176,40,239,0.0322959,0.0254724,1
lns__131,131,275,0,12,176,40,239,0.0322959,0.0268289,1
lns__131,131,275,0,12,176,40,239,0.0322959,0.0254699,1
lns__131,131,275,0,12,176,40,239,0.0322959,0.0263358,1
lns__131,131,275,0,12,176,40,239,0.0322959,0.0276411,1
lns__131,131,275,0,12,176,40,239,0.0322959,0.0258244,1
lns__131,131,275,0,12,176,40,239,0.0322959,0.0294217,1
lns__131,131,275,0,12,176,40,239,0.0322959,0.0260213,1
lns__131,131,275,0,12,176,40,239,0.0322959,0.026241,1
