graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_4,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
lop163,163,598,4,8,142,72,244,0.0452927,0.0942468,1
lop163,163,598,4,8,137,72,244,0.0452927,0.0816729,1
lop163,163,598,4,8,134,72,244,0.0452927,0.238939,1
lop163,163,598,4,8,131,72,244,0.0452927,0.0901712,1
lop163,163,598,4,8,144,72,244,0.0452927,0.0896737,1
lop163,163,598,4,8,143,72,244,0.0452927,0.0822981,1
lop163,163,598,4,8,135,72,244,0.0452927,0.0942488,1
lop163,163,598,4,8,136,72,244,0.0452927,0.0949119,1
lop163,163,598,4,8,135,72,244,0.0452927,0.127639,1
lop163,163,598,4,8,127,72,244,0.0452927,0.205047,1
lop163,163,598,4,8,137,72,244,0.0452927,0.0910966,1
lop163,163,598,4,8,148,72,244,0.0452927,0.0845406,1
lop163,163,598,4,8,141,72,244,0.0452927,0.0750893,1
lop163,163,598,4,8,148,72,244,0.0452927,0.0765733,1
lop163,163,598,4,8,127,72,244,0.0452927,0.140853,1
