graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_4,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
lshp1009,1009,2928,3,6,838,576,1513,0.0057577,12.7238,1
lshp1009,1009,2928,3,6,832,576,1513,0.0057577,12.2931,1
lshp1009,1009,2928,3,6,840,576,1513,0.0057577,19.7089,1
lshp1009,1009,2928,3,6,841,576,1513,0.0057577,7.78141,1
lshp1009,1009,2928,3,6,840,576,1513,0.0057577,9.32147,1
lshp1009,1009,2928,3,6,833,576,1513,0.0057577,16.0415,1
lshp1009,1009,2928,3,6,833,576,1513,0.0057577,20.8796,1
lshp1009,1009,2928,3,6,840,576,1513,0.0057577,8.06775,1
lshp1009,1009,2928,3,6,841,576,1513,0.0057577,21.4704,1
lshp1009,1009,2928,3,6,850,576,1513,0.0057577,12.2743,1
lshp1009,1009,2928,3,6,854,576,1513,0.0057577,15.7216,1
lshp1009,1009,2928,3,6,853,576,1513,0.0057577,13.3886,1
lshp1009,1009,2928,3,6,871,576,1513,0.0057577,12.9146,1
lshp1009,1009,2928,3,6,840,576,1513,0.0057577,11.9045,1
lshp1009,1009,2928,3,6,846,576,1513,0.0057577,16.0706,1
