graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_4,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
nos6,675,1290,2,4,811,540,1012,0.00567095,4.72439,1
nos6,675,1290,2,4,807,540,1012,0.00567095,3.10475,1
nos6,675,1290,2,4,808,540,1012,0.00567095,2.64014,1
nos6,675,1290,2,4,824,540,1012,0.00567095,2.72144,1
nos6,675,1290,2,4,809,540,1012,0.00567095,4.03357,1
nos6,675,1290,2,4,838,540,1012,0.00567095,2.07529,1
nos6,675,1290,2,4,875,540,1012,0.00567095,1.1808,1
nos6,675,1290,2,4,829,540,1012,0.00567095,1.8758,1
nos6,675,1290,2,4,865,540,1012,0.00567095,1.68333,1
nos6,675,1290,2,4,841,540,1012,0.00567095,2.4856,1
nos6,675,1290,2,4,832,540,1012,0.00567095,2.2649,1
nos6,675,1290,2,4,828,540,1012,0.00567095,2.87048,1
nos6,675,1290,2,4,804,540,1012,0.00567095,3.95062,1
nos6,675,1290,2,4,828,540,1012,0.00567095,2.88922,1
nos6,675,1290,2,4,856,540,1012,0.00567095,2.19746,1
