graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_4,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
odep400a,400,402,2,4,589,320,600,0.00503759,1.9241,1
odep400a,400,402,2,4,588,320,600,0.00503759,1.99212,1
odep400a,400,402,2,4,585,320,600,0.00503759,0.718657,1
odep400a,400,402,2,4,599,320,600,0.00503759,0.475597,1
odep400a,400,402,2,4,584,320,600,0.00503759,1.91377,1
odep400a,400,402,2,4,601,320,600,0.00503759,0.616469,1
odep400a,400,402,2,4,602,320,600,0.00503759,1.04079,1
odep400a,400,402,2,4,600,320,600,0.00503759,0.343302,1
odep400a,400,402,2,4,588,320,600,0.00503759,1.28695,1
odep400a,400,402,2,4,592,320,600,0.00503759,1.16802,1
odep400a,400,402,2,4,591,320,600,0.00503759,1.24749,1
odep400a,400,402,2,4,590,320,600,0.00503759,0.547183,1
odep400a,400,402,2,4,593,320,600,0.00503759,1.29169,1
odep400a,400,402,2,4,590,320,600,0.00503759,1.3765,1
odep400a,400,402,2,4,588,320,600,0.00503759,1.74639,1
