graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_4,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
watt__1,1856,4816,1,6,2101,1060,3248,0.00279766,31.6272,1
watt__1,1856,4816,1,6,2089,1060,3248,0.00279766,80.2595,1
watt__1,1856,4816,1,6,2119,1060,3248,0.00279766,31.9671,1
watt__1,1856,4816,1,6,2059,1060,3248,0.00279766,80.7257,1
watt__1,1856,4816,1,6,2156,1060,3248,0.00279766,47.6415,1
watt__1,1856,4816,1,6,2117,1060,3248,0.00279766,89.5522,1
watt__1,1856,4816,1,6,2104,1060,3248,0.00279766,88.638,1
watt__1,1856,4816,1,6,2106,1060,3248,0.00279766,56.8512,1
watt__1,1856,4816,1,6,2098,1060,3248,0.00279766,70.2639,1
watt__1,1856,4816,1,6,2093,1060,3248,0.00279766,70.1717,1
watt__1,1856,4816,1,6,2103,1060,3248,0.00279766,56.8102,1
watt__1,1856,4816,1,6,2020,1060,3248,0.00279766,36.9129,1
watt__1,1856,4816,1,6,2143,1060,3248,0.00279766,31.23,1
watt__1,1856,4816,1,6,2099,1060,3248,0.00279766,29.117,1
watt__1,1856,4816,1,6,2110,1060,3248,0.00279766,77.5432,1
