graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_4,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
will199,199,660,2,13,176,56,298,0.0335008,0.0958778,1
will199,199,660,2,13,176,56,298,0.0335008,0.0938976,1
will199,199,660,2,13,176,56,298,0.0335008,0.142829,1
will199,199,660,2,13,164,56,298,0.0335008,0.0943193,1
will199,199,660,2,13,176,56,298,0.0335008,0.105105,1
will199,199,660,2,13,176,56,298,0.0335008,0.138714,1
will199,199,660,2,13,176,56,298,0.0335008,0.12071,1
will199,199,660,2,13,176,56,298,0.0335008,0.117652,1
will199,199,660,2,13,176,56,298,0.0335008,0.134705,1
will199,199,660,2,13,176,56,298,0.0335008,0.113821,1
will199,199,660,2,13,176,56,298,0.0335008,0.123433,1
will199,199,660,2,13,177,56,298,0.0335008,0.0810493,1
will199,199,660,2,13,177,56,298,0.0335008,0.0807155,1
will199,199,660,2,13,176,56,298,0.0335008,0.131274,1
will199,199,660,2,13,177,56,298,0.0335008,0.0827469,1
