graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_4,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
CSphd,1882,1740,1,46,2504,160,3311,0.000983039,7.2044,1
CSphd,1882,1740,1,46,2504,160,3311,0.000983039,7.07367,1
CSphd,1882,1740,1,46,2504,160,3311,0.000983039,7.29712,1
CSphd,1882,1740,1,46,2504,160,3311,0.000983039,7.18862,1
CSphd,1882,1740,1,46,2504,160,3311,0.000983039,7.5108,1
CSphd,1882,1740,1,46,2504,160,3311,0.000983039,7.22683,1
CSphd,1882,1740,1,46,2504,160,3311,0.000983039,7.04525,1
CSphd,1882,1740,1,46,2504,160,3311,0.000983039,7.26453,1
CSphd,1882,1740,1,46,2504,160,3311,0.000983039,7.27134,1
CSphd,1882,1740,1,46,2504,160,3311,0.000983039,6.88759,1
CSphd,1882,1740,1,46,2504,160,3311,0.000983039,7.05643,1
CSphd,1882,1740,1,46,2504,160,3311,0.000983039,7.78285,1
CSphd,1882,1740,1,46,2504,160,3311,0.000983039,7.22779,1
CSphd,1882,1740,1,46,2504,160,3311,0.000983039,7.22131,1
CSphd,1882,1740,1,46,2504,160,3311,0.000983039,7.12866,1
